playerID,name,age,mvps,teamID,number,starter
1,mac jones,24,0,1,10,TRUE
2,zach wilson,23,0,2,2,TRUE
3,josh allen,26,0,3,17,TRUE
4,tua tagovailoa,24,0,4,1,TRUE
5,mitchell trubisky,28,0,5,10,TRUE
6,lamar jackson,25,1,6,8,TRUE
7,joe burrow,25,0,7,9,TRUE
8,jacoby brissett,29,0,8,7,TRUE
9,trevor lawrence,22,0,9,16,TRUE
10,davis mills,23,0,10,10,TRUE
11,matt ryan,37,1,11,2,TRUE
12,ryan tannehill,34,0,12,17,TRUE
13,justin herbert,24,0,13,10,TRUE
14,derek carr,31,0,14,4,TRUE
15,patrick mahomes,26,1,15,15,TRUE
16,russell wilson,33,0,16,3,TRUE
17,daniel jones,25,0,17,8,TRUE
18,dak prescott,29,0,18,4,TRUE
19,carson wentz,29,0,19,11,TRUE
20,jalen hurts,24,0,20,1,TRUE
21,aaron rodgers,38,4,21,12,TRUE
22,kirk cousins,34,0,22,8,TRUE
23,justin fields,23,0,23,1,TRUE
24,jared goff,27,0,24,16,TRUE
25,jameis winston,28,0,25,2,TRUE
26,marcus mariota,28,0,26,1,TRUE
27,tom brady,45,3,27,12,TRUE
28,baker mayfield,27,0,28,6,TRUE
29,geno smith,31,0,29,7,TRUE
30,trey lance,22,0,30,5,TRUE
31,kyler murray,25,0,31,1,TRUE
32,matthew stafford,34,0,32,9,TRUE
33,jimmy garoppolo,30,0,30,10,FALSE
34,deshaun watson,26,0,8,4,FALSE
35,drew lock,25,0,29,2,FALSE
36,case keenum,34,0,3,18,FALSE
37,joe flacco,37,0,2,19,FALSE
38,sam darnold,25,0,28,14,FALSE
39,gardner minshew,26,0,20,10,FALSE
40,brian hoyer,36,0,1,5,FALSE
41,nick foles,33,0,11,9,FALSE
42,andy dalton,34,0,25,14,FALSE
43,teddy bridgewater,29,0,4,5,FALSE
44,tyler huntley,24,0,6,2,FALSE
45,kenny pickett,24,0,5,8,FALSE